,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_pagePath,ga_exitPagePath,ga_pageDepth,ga_pageviews,ga_timeOnPage,ga_pageviewsPerSession,ga_avgTimeOnPage
54,2022-06-20 09:10,Hanoi,Vietnam,desktop,/,/cart/,25,1.0,14.0,0.0,14.0
55,2022-06-20 09:10,Hanoi,Vietnam,desktop,/sample-page/,/cart/,25,1.0,53.0,0.0,53.0
56,2022-06-20 10:10,Hanoi,Vietnam,desktop,/,/cart/,25,1.0,3.0,0.0,3.0
57,2022-06-20 10:10,Hanoi,Vietnam,desktop,/cart/,/cart/,25,1.0,0.0,0.0,0.0
58,2022-06-20 10:10,Hanoi,Vietnam,desktop,/sample-page/,/cart/,25,2.0,18.0,0.0,9.0
59,2022-06-20 10:10,Hanoi,Vietnam,desktop,/cart/,/,50,1.0,14.0,1.0,14.0
60,2022-06-20 10:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,257.0,0.0,257.0
61,2022-06-20 10:10,Hanoi,Vietnam,desktop,/my-account/,/,50,1.0,627.0,0.0,627.0
62,2022-06-20 10:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,48.0,0.0,48.0
63,2022-06-20 10:10,Hanoi,Vietnam,desktop,/product/dich-vu-tu-van-giai-phap/,/,50,1.0,479.0,0.0,479.0
64,2022-06-20 10:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-data-analytics/,/,50,1.0,6.0,0.0,6.0
65,2022-06-20 10:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,2.0,0.0,2.0
66,2022-06-20 11:10,Hanoi,Vietnam,desktop,/product/dich-vu-tu-van-giai-phap/,/,50,1.0,10.0,0.0,10.0
67,2022-06-20 11:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-data-analytics/,/,50,2.0,32.0,0.0,16.0
68,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,3.0,21.0,0.0,7.0
69,2022-06-20 11:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-data-analytics/,/,50,1.0,43.0,0.0,43.0
70,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,90.0,0.0,90.0
71,2022-06-20 11:10,Hanoi,Vietnam,desktop,/product/dich-vu-tu-van-giai-phap/,/,50,2.0,10.0,0.0,5.0
72,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,2.0,32.0,0.0,16.0
73,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/?orderby=popularity,/,50,1.0,9.0,0.0,9.0
74,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,340.0,0.0,340.0
75,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,2.0,0.0,2.0
76,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,78.0,0.0,78.0
77,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,4.0,0.0,4.0
78,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,2.0,58.0,0.0,29.0
79,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,182.0,0.0,182.0
80,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,41.0,0.0,41.0
81,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,4.0,31.0,0.0,7.75
82,2022-06-20 11:10,Hanoi,Vietnam,desktop,/cart/,/,50,1.0,8.0,0.0,8.0
83,2022-06-20 11:10,Hanoi,Vietnam,desktop,/checkout/,/,50,1.0,8.0,0.0,8.0
84,2022-06-20 11:10,Hanoi,Vietnam,desktop,/sample-page/,/,50,1.0,5.0,0.0,5.0
85,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,7.0,0.0,7.0
86,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,282.0,0.0,282.0
87,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,32.0,0.0,32.0
88,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,4.0,0.0,4.0
89,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,1321.0,0.0,1321.0
90,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,2.0,135.0,0.0,67.5
91,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,51.0,0.0,51.0
92,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,1.0,25.0,0.0,25.0
93,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,3.0,45.0,0.0,15.0
94,2022-06-20 11:10,Hanoi,Vietnam,desktop,/shop/,/,50,2.0,34.0,0.0,17.0
95,2022-06-20 11:10,Hanoi,Vietnam,desktop,/,/,50,1.0,0.0,0.0,0.0
96,2022-06-20 12:10,Hanoi,Vietnam,mobile,/shop/,/shop/,1,1.0,0.0,1.0,0.0
97,2022-06-20 13:10,Hanoi,Vietnam,desktop,/,/,42,1.0,508.0,1.0,508.0
98,2022-06-20 13:10,Hanoi,Vietnam,desktop,/,/,42,1.0,135.0,0.0,135.0
99,2022-06-20 13:10,Hanoi,Vietnam,desktop,/,/,42,1.0,29.0,0.0,29.0
100,2022-06-20 13:10,Hanoi,Vietnam,desktop,/,/,42,1.0,63.0,0.0,63.0
101,2022-06-20 13:10,Hanoi,Vietnam,desktop,/,/,42,2.0,223.0,0.0,111.5
102,2022-06-20 13:10,Hanoi,Vietnam,desktop,/,/,42,1.0,13.0,0.0,13.0
103,2022-06-20 13:10,Hanoi,Vietnam,desktop,/,/,42,1.0,7.0,0.0,7.0
104,2022-06-20 13:10,Hanoi,Vietnam,desktop,/product/dich-vu-tu-van-giai-phap/,/,42,1.0,139.0,0.0,139.0
105,2022-06-20 13:10,Hanoi,Vietnam,desktop,/shop/,/,42,1.0,120.0,0.0,120.0
106,2022-06-20 14:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-power-bi/,/,42,1.0,223.0,0.0,223.0
107,2022-06-20 14:10,Hanoi,Vietnam,desktop,/shop/,/,42,1.0,2.0,0.0,2.0
108,2022-06-20 14:10,Hanoi,Vietnam,desktop,/sample-page/,/,42,1.0,345.0,0.0,345.0
109,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,223.0,0.0,223.0
110,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,3.0,48.0,0.0,16.0
111,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,77.0,0.0,77.0
112,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,19.0,0.0,19.0
113,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,4.0,41.0,0.0,10.25
114,2022-06-20 14:10,Hanoi,Vietnam,desktop,/shop/,/,42,1.0,366.0,0.0,366.0
115,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,451.0,0.0,451.0
116,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,46.0,0.0,46.0
117,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,3.0,28.0,0.0,9.333333333333334
118,2022-06-20 14:10,Hanoi,Vietnam,desktop,/sample-page/,/,42,1.0,51.0,0.0,51.0
119,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,2.0,42.0,0.0,21.0
120,2022-06-20 14:10,Hanoi,Vietnam,desktop,/sample-page/,/,42,2.0,21.0,0.0,10.5
121,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,927.0,0.0,927.0
122,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,3.0,0.0,3.0
123,2022-06-20 14:10,Hanoi,Vietnam,desktop,/cart/,/,42,1.0,6.0,0.0,6.0
124,2022-06-20 14:10,Hanoi,Vietnam,desktop,/checkout/,/,42,1.0,62.0,0.0,62.0
125,2022-06-20 14:10,Hanoi,Vietnam,desktop,/shop/,/,42,1.0,13.0,0.0,13.0
126,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,382.0,0.0,382.0
127,2022-06-20 14:10,Hanoi,Vietnam,desktop,/checkout/order-received/111/?key=wc_order_H6sd7IIRsLfCo,/,42,1.0,12.0,0.0,12.0
128,2022-06-20 14:10,Hanoi,Vietnam,desktop,/,/,42,1.0,0.0,0.0,0.0
129,2022-06-20 16:10,Hanoi,Vietnam,desktop,/,/,4,1.0,63.0,1.0,63.0
130,2022-06-20 16:10,Hanoi,Vietnam,desktop,/,/,4,2.0,39.0,0.0,39.0
131,2022-06-20 16:10,Hanoi,Vietnam,desktop,/shop/,/,4,1.0,3.0,0.0,3.0
132,2022-06-20 17:10,Hanoi,Vietnam,desktop,/,/cart/,3,1.0,1363.0,1.0,1363.0
133,2022-06-20 17:10,Hanoi,Vietnam,desktop,/cart/,/cart/,3,1.0,0.0,0.0,0.0
134,2022-06-20 17:10,Hanoi,Vietnam,desktop,/shop/,/cart/,3,1.0,6.0,0.0,6.0
135,2022-06-21 00:10,Hanoi,Vietnam,desktop,/cart/,/cart/,1,1.0,0.0,1.0,0.0
136,2022-06-21 07:10,(not set),China,mobile,/,/,1,1.0,0.0,1.0,0.0
137,2022-06-21 07:10,(not set),China,mobile,/,/,1,1.0,0.0,1.0,0.0
138,2022-06-21 11:10,Hanoi,Vietnam,desktop,/,/,11,1.0,25.0,1.0,25.0
139,2022-06-21 11:10,Hanoi,Vietnam,desktop,/cart/,/,11,1.0,4.0,0.0,4.0
140,2022-06-21 11:10,Hanoi,Vietnam,desktop,/shop/,/,11,1.0,1609.0,0.0,1609.0
141,2022-06-21 11:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-data-analytics/,/,11,1.0,25.0,0.0,25.0
142,2022-06-21 11:10,Hanoi,Vietnam,desktop,/shop/,/,11,1.0,132.0,0.0,132.0
143,2022-06-21 11:10,Hanoi,Vietnam,desktop,/shop/,/,11,1.0,86.0,0.0,86.0
144,2022-06-21 11:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-de/,/,11,1.0,6.0,0.0,6.0
145,2022-06-21 11:10,Hanoi,Vietnam,desktop,/shop/,/,11,1.0,42.0,0.0,42.0
146,2022-06-21 11:10,Hanoi,Vietnam,desktop,/shop/?orderby=price,/,11,1.0,193.0,0.0,193.0
147,2022-06-21 11:10,Hanoi,Vietnam,desktop,/,/,11,1.0,0.0,0.0,0.0
148,2022-06-21 11:10,Hanoi,Vietnam,desktop,/sample-page/,/,11,1.0,7.0,0.0,7.0
149,2022-06-21 13:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
150,2022-06-22 08:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
151,2022-06-22 13:10,Hanoi,Vietnam,desktop,/,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,4,1.0,73.0,1.0,73.0
152,2022-06-22 13:10,Hanoi,Vietnam,desktop,/cart/,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,4,1.0,4.0,0.0,4.0
153,2022-06-22 13:10,Hanoi,Vietnam,desktop,/checkout/,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,4,1.0,55.0,0.0,55.0
154,2022-06-22 13:10,Hanoi,Vietnam,desktop,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,4,1.0,0.0,0.0,0.0
155,2022-06-23 13:10,(not set),China,mobile,/,/,1,1.0,0.0,1.0,0.0
156,2022-06-23 15:10,Hanoi,Vietnam,desktop,/,/cart/,4,1.0,190.0,1.0,190.0
157,2022-06-23 15:10,Hanoi,Vietnam,desktop,/,/cart/,4,1.0,3.0,0.0,3.0
158,2022-06-23 15:10,Hanoi,Vietnam,desktop,/cart/,/cart/,4,1.0,0.0,0.0,0.0
