,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_users,ga_pageviews,ga_bounces,ga_sessions,ga_timeOnPage
63,2022-06-20 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
64,2022-06-20 12:10,Hanoi,Vietnam,mobile,1.0,1.0,1.0,1.0,0.0
65,2022-06-20 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,508.0
66,2022-06-20 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,135.0
67,2022-06-20 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,29.0
68,2022-06-20 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,63.0
69,2022-06-20 13:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,223.0
70,2022-06-20 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,13.0
71,2022-06-20 13:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,146.0
72,2022-06-20 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,120.0
73,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,225.0
74,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,345.0
75,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,223.0
76,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,48.0
77,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,77.0
78,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,19.0
79,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,5.0,0.0,0.0,407.0
80,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,451.0
81,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,46.0
82,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,4.0,0.0,0.0,79.0
83,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,4.0,0.0,0.0,63.0
84,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,927.0
85,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,4.0,0.0,0.0,84.0
86,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,394.0
87,2022-06-20 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
88,2022-06-20 16:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,63.0
89,2022-06-20 16:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,42.0
90,2022-06-20 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,1363.0
91,2022-06-20 17:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,6.0
92,2022-06-21 00:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
93,2022-06-21 07:10,(not set),China,mobile,1.0,1.0,1.0,1.0,0.0
94,2022-06-21 07:10,(not set),China,mobile,1.0,1.0,1.0,1.0,0.0
95,2022-06-21 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,25.0
96,2022-06-21 11:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,1613.0
97,2022-06-21 11:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,157.0
98,2022-06-21 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,86.0
99,2022-06-21 11:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,241.0
100,2022-06-21 11:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,7.0
101,2022-06-21 13:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
102,2022-06-22 08:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
103,2022-06-22 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,73.0
104,2022-06-22 13:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,59.0
105,2022-06-22 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
106,2022-06-23 13:10,(not set),China,mobile,1.0,1.0,1.0,1.0,0.0
107,2022-06-23 15:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,190.0
108,2022-06-23 15:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,12.0
