,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_userType,ga_sessionCount,ga_daysSinceLastSession,ga_users,ga_newUsers,ga_sessionsPerUser
59,2022-06-20 11:10,Hanoi,Vietnam,desktop,Returning Visitor,9,0,1.0,0.0,0.0
60,2022-06-20 11:10,Hanoi,Vietnam,desktop,Returning Visitor,9,0,1.0,0.0,0.0
61,2022-06-20 11:10,Hanoi,Vietnam,desktop,Returning Visitor,9,0,1.0,0.0,0.0
62,2022-06-20 11:10,Hanoi,Vietnam,desktop,Returning Visitor,9,0,1.0,0.0,0.0
63,2022-06-20 11:10,Hanoi,Vietnam,desktop,Returning Visitor,9,0,1.0,0.0,0.0
64,2022-06-20 12:10,Hanoi,Vietnam,mobile,Returning Visitor,2,0,1.0,0.0,1.0
65,2022-06-20 13:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,1.0
66,2022-06-20 13:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
67,2022-06-20 13:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
68,2022-06-20 13:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
69,2022-06-20 13:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
70,2022-06-20 13:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
71,2022-06-20 13:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
72,2022-06-20 13:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
73,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
74,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
75,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
76,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
77,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
78,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
79,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
80,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
81,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
82,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
83,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
84,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
85,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
86,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
87,2022-06-20 14:10,Hanoi,Vietnam,desktop,Returning Visitor,10,0,1.0,0.0,0.0
88,2022-06-20 16:10,Hanoi,Vietnam,desktop,Returning Visitor,11,0,1.0,0.0,1.0
89,2022-06-20 16:10,Hanoi,Vietnam,desktop,Returning Visitor,11,0,1.0,0.0,0.0
90,2022-06-20 17:10,Hanoi,Vietnam,desktop,Returning Visitor,12,0,1.0,0.0,1.0
91,2022-06-20 17:10,Hanoi,Vietnam,desktop,Returning Visitor,12,0,1.0,0.0,0.0
92,2022-06-21 00:10,Hanoi,Vietnam,desktop,Returning Visitor,13,0,1.0,0.0,1.0
93,2022-06-21 07:10,(not set),China,mobile,New Visitor,1,0,1.0,1.0,1.0
94,2022-06-21 07:10,(not set),China,mobile,New Visitor,1,0,1.0,1.0,1.0
95,2022-06-21 11:10,Hanoi,Vietnam,desktop,Returning Visitor,14,0,1.0,0.0,1.0
96,2022-06-21 11:10,Hanoi,Vietnam,desktop,Returning Visitor,14,0,1.0,0.0,0.0
97,2022-06-21 11:10,Hanoi,Vietnam,desktop,Returning Visitor,14,0,1.0,0.0,0.0
98,2022-06-21 11:10,Hanoi,Vietnam,desktop,Returning Visitor,14,0,1.0,0.0,0.0
99,2022-06-21 11:10,Hanoi,Vietnam,desktop,Returning Visitor,14,0,1.0,0.0,0.0
100,2022-06-21 11:10,Hanoi,Vietnam,desktop,Returning Visitor,14,0,1.0,0.0,0.0
101,2022-06-21 13:10,Hanoi,Vietnam,desktop,Returning Visitor,15,0,1.0,0.0,1.0
102,2022-06-22 08:10,Hanoi,Vietnam,desktop,Returning Visitor,4,4,1.0,0.0,1.0
103,2022-06-22 13:10,Hanoi,Vietnam,desktop,Returning Visitor,16,1,1.0,0.0,1.0
104,2022-06-22 13:10,Hanoi,Vietnam,desktop,Returning Visitor,16,1,1.0,0.0,0.0
105,2022-06-22 13:10,Hanoi,Vietnam,desktop,Returning Visitor,16,1,1.0,0.0,0.0
106,2022-06-23 13:10,(not set),China,mobile,New Visitor,1,0,1.0,1.0,1.0
107,2022-06-23 15:10,Hanoi,Vietnam,desktop,Returning Visitor,17,1,1.0,0.0,1.0
108,2022-06-23 15:10,Hanoi,Vietnam,desktop,Returning Visitor,17,1,1.0,0.0,0.0
109,2022-06-23 17:10,Wilmington Manor,United States,desktop,New Visitor,1,0,1.0,1.0,1.0
110,2022-06-23 17:10,Hanoi,Vietnam,desktop,Returning Visitor,18,0,1.0,0.0,1.0
111,2022-06-24 08:10,Hanoi,Vietnam,desktop,Returning Visitor,19,0,1.0,0.0,1.0
112,2022-06-24 08:10,Hanoi,Vietnam,desktop,Returning Visitor,19,0,1.0,0.0,0.0
113,2022-06-24 10:10,Hanoi,Vietnam,desktop,Returning Visitor,20,0,1.0,0.0,1.0
114,2022-06-24 10:10,Hanoi,Vietnam,desktop,Returning Visitor,20,0,1.0,0.0,0.0
115,2022-06-24 10:10,Hanoi,Vietnam,desktop,Returning Visitor,20,0,1.0,0.0,0.0
116,2022-06-24 10:10,Hanoi,Vietnam,desktop,Returning Visitor,21,0,1.0,0.0,1.0
