,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_sessionDurationBucket,ga_sessions,ga_bounces,ga_bounceRate,ga_sessionDuration,ga_avgSessionDuration,ga_hits
55,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,1.0
56,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,8.0
57,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,1.0
58,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,2.0
59,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,1.0
60,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,2.0
61,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,1.0
62,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,1.0
63,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,5.0
64,2022-06-20 11:10,Hanoi,Vietnam,desktop,4374,0.0,0.0,0.0,0.0,0.0,1.0
65,2022-06-20 12:10,Hanoi,Vietnam,mobile,0,1.0,1.0,100.0,0.0,0.0,1.0
66,2022-06-20 13:10,Hanoi,Vietnam,desktop,4628,1.0,0.0,0.0,4628.0,4628.0,1.0
67,2022-06-20 13:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
68,2022-06-20 13:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
69,2022-06-20 13:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
70,2022-06-20 13:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,2.0
71,2022-06-20 13:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
72,2022-06-20 13:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,2.0
73,2022-06-20 13:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
74,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,2.0
75,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
76,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
77,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,3.0
78,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
