,ga_hostname,ga_pagePath,ga_pageTitle,ga_landingPagePath,ga_secondPagePath,ga_exitPagePath,ga_pageDepth,ga_pageValue,ga_entrances,ga_entranceRate,ga_pageviews,ga_uniquePageviews,ga_exits,ga_exitRate
121,ga.kpim.vn,/product/power-bi-server/,Power BI Server -,/,/,/product/khoa-hoc-data-analytics/,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0
122,ga.kpim.vn,/product/power-bi-server/,Power BI Server -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
123,ga.kpim.vn,/sample-page/,About -,/,/,/,42,0.0,0.0,0.0,2.0,1.0,0.0,0.0
124,ga.kpim.vn,/sample-page/,About -,/,/cart/,/,11,0.0,0.0,0.0,1.0,1.0,0.0,0.0
125,ga.kpim.vn,/sample-page/,Doanh nghiệp của bạn có đang khai thác Dữ liệu hiệu quả? - Google Analytics,/,/,/cart/,25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
126,ga.kpim.vn,/sample-page/,Sample page -,/,/,/,42,0.0,0.0,0.0,2.0,1.0,0.0,0.0
127,ga.kpim.vn,/sample-page/,Sample Page - GA,/,/,/,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
128,ga.kpim.vn,/sample-page/,Sample page - Google Analytics,/,/,/cart/,25,0.0,0.0,0.0,2.0,1.0,0.0,0.0
129,ga.kpim.vn,/sample-page/,Sample page - Google Analytics,/cart/,/shop/,/,50,0.0,0.0,0.0,1.0,1.0,0.0,0.0
130,ga.kpim.vn,/sample-page/,Sample Page - Google Analytics,/,/,/cart/,25,0.0,0.0,0.0,2.0,1.0,0.0,0.0
131,ga.kpim.vn,/sample-page/,Sample Page – GA,/,/,/,9,0.0,0.0,0.0,1.0,1.0,0.0,0.0
132,ga.kpim.vn,/sample-page/,Sample Page – GA,/,/wpadmin,/,12,0.0,0.0,0.0,1.0,1.0,0.0,0.0
133,ga.kpim.vn,/shop/,Shop -,/,/,/,19,0.0,0.0,0.0,3.0,1.0,0.0,0.0
134,ga.kpim.vn,/shop/,Shop -,/,/,/,42,0.0,0.0,0.0,4.0,1.0,0.0,0.0
135,ga.kpim.vn,/shop/,Shop -,/,/,/cart/,4,0.0,0.0,0.0,2.0,2.0,0.0,0.0
136,ga.kpim.vn,/shop/,Shop -,/,/,/product/khoa-hoc-data-analytics/,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0
137,ga.kpim.vn,/shop/,Shop -,/,/,/shop/,3,0.0,0.0,0.0,2.0,2.0,2.0,100.0
138,ga.kpim.vn,/shop/,Shop -,/,/cart/,/,11,0.0,0.0,0.0,4.0,1.0,0.0,0.0
139,ga.kpim.vn,/shop/,Shop -,/,/product/dich-vu-tu-van-giai-phap/,/shop/,9,0.0,0.0,0.0,2.0,1.0,1.0,50.0
140,ga.kpim.vn,/shop/,Shop -,/,/shop/,/,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0
141,ga.kpim.vn,/shop/,Shop -,/,/shop/,/cart/,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0
142,ga.kpim.vn,/shop/,Shop -,/cart/,/cart/,/product/dich-vu-tu-van-giai-phap/,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
143,ga.kpim.vn,/shop/,Shop -,/product/power-bi-embedded/,/,/checkout/,19,0.0,0.0,0.0,3.0,1.0,0.0,0.0
144,ga.kpim.vn,/shop/,Shop - GA,/,/,/,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
145,ga.kpim.vn,/shop/,Shop - GA,/shop/,(not set),/shop/,1,0.0,1.0,100.0,1.0,1.0,1.0,100.0
146,ga.kpim.vn,/shop/,Shop - Google Analytics,/,/,/cart/,25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
147,ga.kpim.vn,/shop/,Shop - Google Analytics,/cart/,/shop/,/,50,0.0,0.0,0.0,11.0,1.0,0.0,0.0
148,ga.kpim.vn,/shop/,Shop - KPIM's Store,/cart/,/shop/,/,50,0.0,0.0,0.0,5.0,1.0,0.0,0.0
149,ga.kpim.vn,/shop/?orderby=popularity,Shop - Google Analytics,/cart/,/shop/,/,50,0.0,0.0,0.0,1.0,1.0,0.0,0.0
150,ga.kpim.vn,/shop/?orderby=price,Shop -,/,/cart/,/,11,0.0,0.0,0.0,1.0,1.0,0.0,0.0
151,ga.kpim.vn,/wpadmin,Page not found – GA,/,/wpadmin,/,12,0.0,0.0,0.0,1.0,1.0,0.0,0.0
