Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
/,63,30.16%,19,44.44%,4.57,00:09:56,1,"₫8,000,000",1.59%
/cart/,3,33.33%,1,33.33%,19.33,00:26:02,0,₫0,0.00%
/product/power-bi-embedded/,3,33.33%,1,66.67%,7.00,00:01:48,0,₫0,0.00%
/product/khoa-hoc-power-bi/,2,100.00%,2,50.00%,1.50,00:00:00,0,₫0,0.00%
/?gtm_debug=1656298173767,1,0.00%,0,0.00%,15.00,00:32:48,0,₫0,0.00%
/shop/,1,0.00%,0,100.00%,1.00,00:00:00,0,₫0,0.00%
,73,31.51%,23,45.21%,5.29,00:10:10,1,"₫8,000,000",1.37%
